start_date,end_date,event_type,event_city,event_relevance
2019-09-23,2019-09-24,festival_fair,Málaga,2
2019-10-30,2019-10-31,festival_fair,Málaga,2
2019-10-30,2019-10-31,festival_fair,Málaga,2
2019-11-03,2019-11-05,festival_fair,Málaga,2
2019-11-10,2019-11-10,festival_fair,Málaga,2
2019-11-29,2019-12-01,festival_fair,Málaga,2
2020-01-24,2020-01-28,festival_fair,Málaga,2
2020-01-29,2020-01-31,festival_fair,Málaga,2
2020-02-09,2020-02-11,festival_fair,Málaga,2
2020-02-17,2020-02-18,festival_fair,Málaga,2
2020-02-26,2020-02-27,festival_fair,Málaga,2
2019-05-02,2019-05-02,local_holiday,Málaga,2
2019-05-15,2019-05-15,local_holiday,Málaga,2
2019-03-03,2019-03-03,festival_concert,Málaga,2
2019-04-30,2019-04-30,festival_concert,Málaga,2
2019-05-05,2019-05-05,festival_concert,Málaga,2
2019-05-06,2019-05-06,festival_concert,Málaga,2
2019-05-11,2019-05-11,festival_concert,Málaga,2
2019-05-16,2019-05-16,festival_concert,Málaga,2
2019-05-23,2019-05-23,festival_concert,Málaga,2
2019-05-25,2019-05-25,festival_concert,Málaga,2
2019-06-05,2019-06-11,festival_concert,Málaga,2
2019-06-07,2019-06-09,festival_concert,Málaga,2
2019-06-09,2019-06-09,festival_concert,Málaga,2
2019-06-10,2019-06-10,festival_concert,Málaga,2
2019-06-15,2019-06-16,festival_concert,Málaga,2
2019-06-16,2019-06-16,festival_concert,Málaga,2
2019-06-17,2019-06-17,festival_concert,Málaga,2
2019-06-20,2019-06-20,festival_concert,Málaga,2
2019-06-24,2019-06-25,festival_concert,Málaga,3
2019-06-25,2019-06-25,festival_concert,Málaga,2
2019-06-29,2019-06-29,festival_concert,Málaga,2
2019-06-30,2019-06-30,festival_concert,Málaga,2
2019-07-02,2019-07-02,festival_concert,Málaga,2
2019-07-05,2019-07-09,festival_concert,Málaga,2
2019-07-06,2019-07-08,festival_concert,Málaga,2
2019-07-06,2019-07-09,festival_concert,Málaga,2
2019-07-09,2019-07-09,festival_concert,Málaga,2
2019-07-10,2019-07-10,festival_concert,Málaga,2
2019-07-11,2019-07-11,festival_concert,Málaga,2
2019-07-12,2019-07-12,festival_concert,Málaga,2
2019-07-13,2019-07-13,festival_concert,Málaga,2
2019-07-14,2019-07-14,festival_concert,Málaga,2
2019-07-18,2019-07-18,festival_concert,Málaga,2
2019-07-30,2019-07-30,festival_concert,Málaga,2
2019-09-02,2019-09-02,festival_concert,Málaga,2
2019-09-06,2019-09-06,festival_concert,Málaga,2
2019-09-08,2019-09-08,festival_concert,Málaga,2
2019-09-09,2019-09-09,festival_concert,Málaga,2
2019-09-10,2019-09-10,festival_concert,Málaga,2
2019-09-15,2019-09-15,festival_concert,Málaga,2
2019-09-17,2019-09-17,festival_concert,Málaga,2
2019-09-20,2019-09-20,festival_concert,Málaga,2
2019-09-21,2019-09-21,festival_concert,Málaga,2
2019-09-22,2019-09-22,festival_concert,Málaga,2
2019-09-24,2019-09-24,festival_concert,Málaga,2
2019-09-29,2019-09-29,festival_concert,Málaga,2
2019-10-03,2019-10-03,festival_concert,Málaga,2
2019-10-05,2019-10-06,festival_concert,Málaga,2
2019-10-06,2019-10-08,festival_concert,Málaga,4
2019-10-11,2019-10-11,festival_concert,Málaga,2
2019-10-11,2019-10-11,festival_concert,Málaga,2
2019-10-14,2019-10-14,festival_concert,Málaga,2
2019-10-22,2019-10-22,festival_concert,Málaga,2
2019-10-28,2019-10-28,festival_concert,Málaga,2
2019-11-03,2019-11-03,festival_concert,Málaga,2
2019-11-04,2019-11-04,festival_concert,Málaga,2
2019-11-05,2019-11-05,festival_concert,Málaga,2
2019-11-06,2019-11-07,festival_concert,Málaga,2
2019-11-07,2019-11-07,festival_concert,Málaga,2
2019-11-08,2019-11-08,festival_concert,Málaga,2
2019-11-11,2019-11-11,festival_concert,Málaga,2
2019-11-17,2019-11-17,festival_concert,Málaga,2
2019-11-21,2019-11-21,festival_concert,Málaga,2
2019-11-22,2019-11-22,festival_concert,Málaga,2
2019-11-24,2019-11-24,festival_concert,Málaga,2
2019-11-25,2019-11-25,festival_concert,Málaga,2
2019-11-28,2019-11-28,festival_concert,Málaga,2
2019-11-30,2019-11-30,festival_concert,Málaga,2
2019-12-01,2019-12-01,festival_concert,Málaga,2
2019-12-02,2019-12-02,festival_concert,Málaga,2
2019-12-04,2019-12-04,festival_concert,Málaga,2
2019-12-05,2019-12-05,festival_concert,Málaga,2
2019-12-06,2019-12-06,festival_concert,Málaga,2
2019-12-14,2019-12-18,festival_concert,Málaga,2
2019-12-16,2019-12-16,festival_concert,Málaga,2
2019-12-17,2019-12-17,festival_concert,Málaga,2
2019-12-18,2019-12-18,festival_concert,Málaga,2
2019-12-19,2019-12-19,festival_concert,Málaga,2
2019-12-20,2019-12-20,festival_concert,Málaga,2
2019-12-22,2019-12-22,festival_concert,Málaga,2
2019-12-23,2019-12-23,festival_concert,Málaga,2
2019-12-25,2019-12-25,festival_concert,Málaga,2
2019-12-26,2019-12-26,festival_concert,Málaga,2
2019-12-29,2019-12-29,festival_concert,Málaga,2
2020-01-18,2020-01-18,festival_concert,Málaga,2
2020-01-26,2020-01-26,festival_concert,Málaga,2
2020-01-27,2020-01-27,festival_concert,Málaga,2
2020-02-02,2020-02-02,festival_concert,Málaga,3
2020-02-03,2020-02-03,festival_concert,Málaga,3
2020-02-14,2020-02-14,festival_concert,Málaga,2
2020-02-15,2020-02-15,festival_concert,Málaga,2
2020-02-16,2020-02-16,festival_concert,Málaga,2
2020-02-17,2020-02-17,festival_concert,Málaga,2
2020-02-27,2020-02-27,festival_concert,Málaga,2
2019-05-03,2019-05-05,sports,Mallorca,2
2019-05-14,2019-05-14,sports,Mallorca,2
2019-05-18,2019-05-18,sports,Mallorca,2
2019-05-20,2019-05-20,sports,Mallorca,2
2019-06-02,2019-06-04,sports,Mallorca,2
2019-06-03,2019-06-04,sports,Mallorca,5
2019-06-03,2019-06-03,sports,Mallorca,5
2019-07-16,2019-07-16,sports,Mallorca,5
2019-06-24,2019-06-24,sports,Mallorca,2
2019-07-01,2019-07-01,sports,Mallorca,2
2019-09-24,2019-09-24,sports,Mallorca,2
2019-02-14,2019-02-21,culture,Mallorca,2
2019-05-06,2019-05-06,culture,Mallorca,2
2020-01-25,2020-01-25,unknown,Mallorca,2
2019-01-12,2019-01-12,conference,Mallorca,2
2019-03-01,2019-03-03,conference,Mallorca,2
2019-05-12,2019-05-14,conference,Mallorca,2
2019-11-27,2019-11-28,conference,Mallorca,2
2019-11-14,2019-11-14,conference,Mallorca,2
2019-03-24,2019-03-26,festival_fair,Mallorca,2
2019-04-22,2019-04-23,festival_fair,Mallorca,2
2019-04-27,2019-04-28,festival_fair,Mallorca,2
2019-08-04,2019-08-09,festival_fair,Mallorca,5
2019-10-27,2019-11-02,festival_fair,Mallorca,2
2019-11-19,2019-11-21,festival_fair,Mallorca,2
2019-12-08,2019-12-10,festival_fair,Mallorca,2
2019-09-04,2019-09-10,festival_fair,Mallorca,2
2019-10-06,2019-10-08,festival_fair,Mallorca,2
2019-09-29,2019-10-01,festival_fair,Mallorca,2
2019-02-03,2019-02-05,festival_concert,Mallorca,2
2019-04-15,2019-04-15,festival_concert,Mallorca,2
2019-04-17,2019-04-22,festival_concert,Mallorca,2
2019-06-09,2019-06-12,festival_concert,Mallorca,5
2019-06-15,2019-06-17,festival_concert,Mallorca,5
2019-07-03,2019-07-09,festival_concert,Mallorca,5
2020-01-26,2020-01-26,festival_concert,Mallorca,2
2020-01-05,2020-01-05,festival_concert,Mallorca,2
2020-02-23,2020-02-23,festival_concert,Mallorca,4
2020-01-06,2020-01-06,festival_concert,Mallorca,2
2019-01-01,2019-01-01,national_holiday,Málaga,2
2019-01-01,2019-01-01,national_holiday,Mallorca,2
2019-01-06,2019-01-06,national_holiday,Málaga,2
2019-01-06,2019-01-06,national_holiday,Mallorca,2
2019-03-31,2019-04-16,national_holiday,Málaga,2
2019-03-31,2019-04-16,national_holiday,Mallorca,2
2019-05-01,2019-05-01,national_holiday,Málaga,2
2019-05-01,2019-05-01,national_holiday,Mallorca,2
2019-08-15,2019-08-15,national_holiday,Málaga,2
2019-08-15,2019-08-15,national_holiday,Mallorca,2
2019-10-12,2019-10-12,national_holiday,Málaga,2
2019-10-12,2019-10-12,national_holiday,Mallorca,2
